First	Last	Affiliation	Email	Women/Diversity	Invite Preference	PC Accept Status	Industry/Acad	Career Stage	Comments	Geo	Area Populated	dist. systems	security/privacy	storage/caching/DB	energy-eff	cloud	mobile/sensor/iot	wireless	measurement	networking	net management	virt/os	systems	deployments	big data	economics	hardware	verification	ml-systems
8306	E650	0729	4F90	W	1	0	A	Senior			4			1	1	1			1										
6741	8443	2657	8F15				A	Early			3									1					1				1
CDDC	896A	B38F	1AFB	W	1	0	I	Early			3	1								1	1								
2FE8	EC48	7C06	8B5D	W	1	0	A	Early			3	1		1									1						
068C	D185	81AD	5EA3				A	Mid			5									1	1			1			1	1	
F83B	FE15	9928	7401	W	1	0	A	Mid		EU	7	1	1						1	1	1						1	1	
F564	CE4B	0A7F	365D				A	Early			2						1	1											
D34C	6625	3341	D3D5				A	Early			3	1	1										1						
75FD	6FB7	B38F	90FC	W	1	1	I	Mid			2								1	1									
E591	F7AE	81AD	F537		0		A	Early			5								1	1	1		1				1		
12A2	EBD4	6D89	E03A	W	1	0	A	Early			2									1					1				
00B3	C4F1	7C06	56ED	W	1	0	A	Early	security		4	1	1			1									1				
9F18	4D15	4754	BFDB				I	Senior	systems for ml, mobility	Asia	5	1			1		1	1		1									
A062	C1A5	DDE4	4DC3		1	1	A	Senior			6				1		1	1		1	1		1						
FB35	238E	4754	E216	W	1	0	I	Senior	systems	Asia	2												1	1					
6521	DE54	0729	D466	W	1	0	A	Early	theory, systems for ML		5	1		1		1							1		1				
0598	8F21	31A6	96A1		1	0	A	Senior			6	1							1	1	1			1				1	
A6C7	68F3	668D	6E42				A	Early			6			1	1				1	1			1		1				
BA05	B43D	708B	259A	W	1	0	I	Senior	big-data systems, os		4	1				1						1	1						
28AE	E8C5	B471	A8CD				A	Mid			8	1	1			1				1	1	1	1	1					
092C	6625	DA06	A422				A	Senior			4	1		1								1	1						
02DB	7625	6D89	DA32				A	Senior			4				1			1	1	1									
3239	E055	0BEA	A1C9	W	1	0	A	Mid	security		3	1	1			1													
703F	DAC3	DA06	BD4C				I	Early			2									1								1	
703F	B2DD	B471	1AA5		1	0	A	Early			4	1		1								1	1						
4BC9	C37A	8309	1B14	W	1	1	A	Early			3									1			1						1
9F9A	35C2	7C06	04A8				A	Senior			7	1	1							1	1		1			1		1	
10E6	B05E	AC0C	429D	W	1	0	A	Mid			8	1	1						1	1	1		1			1		1	
FF60	2976	A224	01BF		1	1	A	Early	big data systems, systems for ml		5			1		1							1		1				1
A2EE	9CEA	31A6	3AC6		1	1	A	Mid	wireless		2						1	1											
5B63	26DF	DA06	BE61				I	Mid			5	1							1				1		1				1
A4DC	0D8C	D8EE	E478				A	Early	os, networking, storage		6	1			1					1		1	1				1		
7008	C742	7E92	DB3A				A	Senior			4	1	1				1	1											
A60F	6E5B	237C	16B3	W	1	1	I	Senior			5								1	1	1	1	1						
2A9D	214A	62AB	08DB	W	1	0	A	Senior			4	1								1	1	1	s	s					
ED45	5875	9F08	BD4C				A	Mid			5	1	1									1	1				1		
BFED	6C90	874B	6A37	D	1	1	A	Early	networking		7	1	1			1			1	1	1		1						
C520	D251	7E92	4D9B		1	0	A	Senior	networking, OS	EU	5	1								1		1	1				1		
8D8A	7FDC	D8EE	5716				A	Early	storage		2			1								1							
E914	9BF7	808B	F7B1	W	1	1	A	Mid			3						1	1	1										
52E0	7F92	60F6	BD4C				A	Early			1	1																	
8DFD	2555	F0F4	EE1B	W	1	0	A	Mid			2						1	1											
7F34	ADF5	06F9	9907	W	0		A	Senior			11	1	1	1		1				1	1	1	1	1	1				1
DADB	8799	DB44	9C74	W	1	1	A	Senior			4		1						1	1	1								
716D	4E50	0EAA	56EB	W	1	1	A	Early	storage		6	1		1		1						1	1				1		
A1F7	A087	AC0C	C188		1	1	A	Early			5								1	1	1				1		1		
7DBA	6BA3	2657	AD21	W	1	0	A	Senior			10		1		1		1	1	1	1	1		1	1					1
